"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Should return 400 when email is missing on resend","","Thu May 28 16:01:14 UTC 2026","passed","Thu May 28 16:01:14 UTC 2026","","Email Verification Controller Tests","com.luxus.tinterest.controller.EmailVerificationControllerTests","testEmailResendWithoutEmail"
"","2","Should delete interest by id","","Thu May 28 16:01:12 UTC 2026","passed","Thu May 28 16:01:12 UTC 2026","","InterestService Unit Tests","com.luxus.tinterest.service.InterestServiceTests","testDeleteInterest"
"","15","Should return 400 when verification code is invalid","","Thu May 28 16:01:14 UTC 2026","passed","Thu May 28 16:01:14 UTC 2026","","Email Verification Controller Tests","com.luxus.tinterest.controller.EmailVerificationControllerTests","testEmailVerifyWithInvalidCode"
"","5","Should login user and return access and refresh tokens","","Thu May 28 16:01:11 UTC 2026","passed","Thu May 28 16:01:11 UTC 2026","","AuthService Unit Tests","com.luxus.tinterest.service.AuthServiceTests","testLoginReturnsTokens"
"","5","Should maintain order of top cities from repository","","Thu May 28 16:01:12 UTC 2026","passed","Thu May 28 16:01:12 UTC 2026","","Positive Test Cases","com.luxus.tinterest.service.AdminStatisticsServiceTest$PositiveTests","shouldMaintainTopCitiesOrder"
"","35","Should return empty result when no recommendations match filter","","Thu May 28 16:01:13 UTC 2026","passed","Thu May 28 16:01:13 UTC 2026","","Recommendation Controller Tests","com.luxus.tinterest.controller.RecommendationControllerTests","testGetFilteredRecommendationsEmpty"
"","15","Should successfully add new interest","","Thu May 28 16:01:14 UTC 2026","passed","Thu May 28 16:01:14 UTC 2026","","Admin Controller Tests","com.luxus.tinterest.controller.AdminControllerTests","testAddInterest"
"","16","Should return 400 when password is missing","","Thu May 28 16:01:13 UTC 2026","passed","Thu May 28 16:01:13 UTC 2026","","Registration Controller Tests","com.luxus.tinterest.controller.RegistrationControllerTests","testRegistrationWithoutPassword"
"","2","Should throw invalid refresh token when token is missing","","Thu May 28 16:01:11 UTC 2026","passed","Thu May 28 16:01:11 UTC 2026","","RefreshTokenService Unit Tests","com.luxus.tinterest.service.RefreshTokenServiceTests","testRotateThrowsWhenTokenMissing"
"","17","Should return 400 for unsupported file format","","Thu May 28 16:01:13 UTC 2026","passed","Thu May 28 16:01:13 UTC 2026","","Profile Controller Tests","com.luxus.tinterest.controller.ProfileControllerTests","testUploadAvatarUnsupportedFormat"
"","20","Should successfully upload avatar with png format","","Thu May 28 16:01:13 UTC 2026","passed","Thu May 28 16:01:13 UTC 2026","","Profile Controller Tests","com.luxus.tinterest.controller.ProfileControllerTests","testUploadAvatarPngSuccess"
"","21","Should successfully record like swipe","","Thu May 28 16:01:13 UTC 2026","passed","Thu May 28 16:01:13 UTC 2026","","Recommendation Controller Tests","com.luxus.tinterest.controller.RecommendationControllerTests","testSwipeLike"
"","21","Should successfully retrieve filtered recommendations","","Thu May 28 16:01:14 UTC 2026","passed","Thu May 28 16:01:14 UTC 2026","","Recommendation Controller Tests","com.luxus.tinterest.controller.RecommendationControllerTests","testGetFilteredRecommendations"
"","15","Should allow login without prior authentication","","Thu May 28 16:01:14 UTC 2026","passed","Thu May 28 16:01:14 UTC 2026","","Login Controller Tests","com.luxus.tinterest.controller.LoginControllerTests","testLoginWithoutAuthentication"
"","18","Should retrieve all users with pagination","","Thu May 28 16:01:14 UTC 2026","passed","Thu May 28 16:01:14 UTC 2026","","Admin Controller Tests","com.luxus.tinterest.controller.AdminControllerTests","testGetAllUsers"
