"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","84","Should throw invalid credentials when password does not match","","2026-06-01","passed","2026-06-01","","UserService Unit Tests","com.luxus.tinterest.service.UserServiceTests","testLoginThrowsWhenPasswordMismatch"
"","9","Should successfully block user","","2026-06-01","passed","2026-06-01","","Admin Controller Tests","com.luxus.tinterest.controller.AdminControllerTests","testBlockUserSuccess"
"","22","Should return 403 when user does not have access to chat","","2026-06-01","passed","2026-06-01","","Chat Controller Tests","com.luxus.tinterest.controller.ChatControllerTests","testGetChatAccessDenied"
"","5","Should return liked swipe result when no match is created","","2026-06-01","passed","2026-06-01","","RecommendationService Unit Tests","com.luxus.tinterest.service.RecommendationServiceTests","testSwipeReturnsLikedWhenNoMutualMatch"
"","9","Should handle duplicate city names in results","","2026-06-01","passed","2026-06-01","","Edge Cases and Boundary Tests","com.luxus.tinterest.service.AdminStatisticsServiceTest$EdgeCaseTests","shouldHandleDuplicateCityNames"
"","2","Should throw invalid refresh token when token is missing","","2026-06-01","passed","2026-06-01","","RefreshTokenService Unit Tests","com.luxus.tinterest.service.RefreshTokenServiceTests","testRotateThrowsWhenTokenMissing"
"","20","Should return 400 when message content is empty","","2026-06-01","passed","2026-06-01","","Chat Controller Tests","com.luxus.tinterest.controller.ChatControllerTests","testSendMessageEmptyContent"
"","4","Should generate and save verification code for new user","","2026-06-01","passed","2026-06-01","","EmailVerificationService Unit Tests","com.luxus.tinterest.service.EmailVerificationServiceTests","testGenerateAndSaveCreatesVerification"
"","3","Should throw invalid refresh token on logout failure","","2026-06-01","passed","2026-06-01","","AuthService Unit Tests","com.luxus.tinterest.service.AuthServiceTests","testLogoutThrowsInvalidRefreshToken"
"","4","Should correctly calculate time periods for registration dynamics","","2026-06-01","passed","2026-06-01","","Positive Test Cases","com.luxus.tinterest.service.AdminStatisticsServiceTest$PositiveTests","shouldCorrectlyCalculateTimePeriods"
"","668","Should execute custom query methods for User repository","","2026-06-01","passed","2026-06-01","","com.luxus.tinterest.integration.UserRepositoryIntegrationTests","com.luxus.tinterest.integration.UserRepositoryIntegrationTests","shouldExecuteCustomQueryMethods"
"","21","Should successfully retrieve all interests","","2026-06-01","passed","2026-06-01","","Interest Controller Tests","com.luxus.tinterest.controller.InterestControllerTests","testGetAllInterests"
"","9","Should return 401 when accessing admin statistics without authorization","","2026-06-01","passed","2026-06-01","","Admin Controller Tests","com.luxus.tinterest.controller.AdminControllerTests","testGetStatisticsWithoutAuthorization"
"","13","Should return 400 when password is too short","","2026-06-01","passed","2026-06-01","","Registration Controller Tests","com.luxus.tinterest.controller.RegistrationControllerTests","testRegistrationWithShortPassword"
"","12","Should successfully verify email with valid code","","2026-06-01","passed","2026-06-01","","Email Verification Controller Tests","com.luxus.tinterest.controller.EmailVerificationControllerTests","testSuccessfulEmailVerification"
"","52","Should return 400 for invalid profile data","","2026-06-01","passed","2026-06-01","","Profile Controller Tests","com.luxus.tinterest.controller.ProfileControllerTests","testCompleteProfileInvalidData"
"","6","Should return 401 when marking chat as read without authentication","","2026-06-01","passed","2026-06-01","","Chat Controller Tests","com.luxus.tinterest.controller.ChatControllerTests","testMarkChatReadWithoutAuthentication"
"","14","Should build recommendations and return ordered user cards","","2026-06-01","passed","2026-06-01","","RecommendationService Unit Tests","com.luxus.tinterest.service.RecommendationServiceTests","testGetRecommendationsBuildsCache"
"","3","Should generate and save a new refresh token","","2026-06-01","passed","2026-06-01","","RefreshTokenService Unit Tests","com.luxus.tinterest.service.RefreshTokenServiceTests","testGenerateAndSaveReturnsRawToken"
"","46","Should perform basic CRUD operations on User repository","","2026-06-01","passed","2026-06-01","","com.luxus.tinterest.integration.UserRepositoryIntegrationTests","com.luxus.tinterest.integration.UserRepositoryIntegrationTests","shouldPerformCrudOperations"
"","139","Should send email message when mail delivery is enabled","","2026-06-01","passed","2026-06-01","","EmailService Unit Tests","com.luxus.tinterest.service.EmailServiceTests","testSendCodeSendsEmailWhenEnabled"
