"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","Should return 400 when member list is empty","","Thu May 28 15:50:33 UTC 2026","passed","Thu May 28 15:50:33 UTC 2026","","Chat Controller Tests","com.luxus.tinterest.controller.ChatControllerTests","testCreateGroupChatNoMembers"
"","9","Should successfully logout and clear refresh token","","Thu May 28 15:50:32 UTC 2026","passed","Thu May 28 15:50:32 UTC 2026","","Login Controller Tests","com.luxus.tinterest.controller.LoginControllerTests","testSuccessfulLogout"
"","4","Should throw ArrayIndexOutOfBoundsException when repository returns incomplete arrays","","Thu May 28 15:50:31 UTC 2026","passed","Thu May 28 15:50:31 UTC 2026","","Negative Test Cases","com.luxus.tinterest.service.AdminStatisticsServiceTest$NegativeTests","shouldThrowExceptionWhenArrayIsIncomplete"
"","3","Should throw invalid refresh token on logout failure","","Thu May 28 15:50:30 UTC 2026","passed","Thu May 28 15:50:30 UTC 2026","","AuthService Unit Tests","com.luxus.tinterest.service.AuthServiceTests","testLogoutThrowsInvalidRefreshToken"
"","11","Should return 401 when creating direct chat without authentication","","Thu May 28 15:50:33 UTC 2026","passed","Thu May 28 15:50:33 UTC 2026","","Chat Controller Tests","com.luxus.tinterest.controller.ChatControllerTests","testCreateDirectChatWithoutAuthentication"
"","9","Should successfully login with valid credentials","","Thu May 28 15:50:32 UTC 2026","passed","Thu May 28 15:50:32 UTC 2026","","Login Controller Tests","com.luxus.tinterest.controller.LoginControllerTests","testSuccessfulLogin"
"","15","Should return 404 when target user not found","","Thu May 28 15:50:32 UTC 2026","passed","Thu May 28 15:50:32 UTC 2026","","Recommendation Controller Tests","com.luxus.tinterest.controller.RecommendationControllerTests","testSwipeTargetUserNotFound"
"","8","Should return 401 when blocking user without authorization","","Thu May 28 15:50:33 UTC 2026","passed","Thu May 28 15:50:33 UTC 2026","","Admin Controller Tests","com.luxus.tinterest.controller.AdminControllerTests","testBlockUserWithoutAuthorization"
"","10","Should return 401 when retrieving chat messages without authentication","","Thu May 28 15:50:33 UTC 2026","passed","Thu May 28 15:50:33 UTC 2026","","Chat Controller Tests","com.luxus.tinterest.controller.ChatControllerTests","testGetChatMessagesWithoutAuthentication"
"","14","Should return 409 when interest already exists","","Thu May 28 15:50:33 UTC 2026","passed","Thu May 28 15:50:33 UTC 2026","","Admin Controller Tests","com.luxus.tinterest.controller.AdminControllerTests","testAddInterestAlreadyExists"
"","5","Should throw ClassCastException when top cities contains wrong data type","","Thu May 28 15:50:31 UTC 2026","passed","Thu May 28 15:50:31 UTC 2026","","Negative Test Cases","com.luxus.tinterest.service.AdminStatisticsServiceTest$NegativeTests","shouldThrowExceptionWhenTopCitiesContainsWrongDataType"
"","3","Should generate and save a new refresh token","","Thu May 28 15:50:30 UTC 2026","passed","Thu May 28 15:50:30 UTC 2026","","RefreshTokenService Unit Tests","com.luxus.tinterest.service.RefreshTokenServiceTests","testGenerateAndSaveReturnsRawToken"
"","44","Should reject invalid login credentials","","Thu May 28 15:50:28 UTC 2026","failed","Thu May 28 15:50:28 UTC 2026","","com.luxus.tinterest.integration.AuthSecurityIntegrationTests","com.luxus.tinterest.integration.AuthSecurityIntegrationTests","shouldRejectInvalidLogin"
"","3","Should throw exception when countByCreatedAtAfter fails","","Thu May 28 15:50:31 UTC 2026","passed","Thu May 28 15:50:31 UTC 2026","","Negative Test Cases","com.luxus.tinterest.service.AdminStatisticsServiceTest$NegativeTests","shouldThrowExceptionWhenCountByCreatedAtAfterFails"
"","33","Should successfully update basic profile","","Thu May 28 15:50:31 UTC 2026","passed","Thu May 28 15:50:31 UTC 2026","","Profile Controller Tests","com.luxus.tinterest.controller.ProfileControllerTests","testUpdateBasicProfileSuccess"
"","12","Should return empty list when user has no chats","","Thu May 28 15:50:33 UTC 2026","passed","Thu May 28 15:50:33 UTC 2026","","Chat Controller Tests","com.luxus.tinterest.controller.ChatControllerTests","testGetChatsEmpty"
"","11","Should return 404 when blocking non-existent user","","Thu May 28 15:50:33 UTC 2026","passed","Thu May 28 15:50:33 UTC 2026","","Admin Controller Tests","com.luxus.tinterest.controller.AdminControllerTests","testBlockUserNotFound"
"","8","Should return 401 when unblocking user without authorization","","Thu May 28 15:50:33 UTC 2026","passed","Thu May 28 15:50:33 UTC 2026","","Admin Controller Tests","com.luxus.tinterest.controller.AdminControllerTests","testUnblockUserWithoutAuthorization"
"","22","Should successfully update work profile","","Thu May 28 15:50:31 UTC 2026","passed","Thu May 28 15:50:32 UTC 2026","","Profile Controller Tests","com.luxus.tinterest.controller.ProfileControllerTests","testUpdateWorkProfileSuccess"
"","4","Should get profile by user id","","Thu May 28 15:50:29 UTC 2026","passed","Thu May 28 15:50:29 UTC 2026","","ProfileService Unit Tests","com.luxus.tinterest.service.ProfileServiceTests","testGetProfileReturnsResponse"
"","3","Should throw when verification record is missing","","Thu May 28 15:50:29 UTC 2026","passed","Thu May 28 15:50:29 UTC 2026","","EmailVerificationService Unit Tests","com.luxus.tinterest.service.EmailVerificationServiceTests","testVerifyCodeThrowsWhenNoVerificationFound"
"","17","Should successfully upload avatar","","Thu May 28 15:50:32 UTC 2026","passed","Thu May 28 15:50:32 UTC 2026","","Profile Controller Tests","com.luxus.tinterest.controller.ProfileControllerTests","testUploadAvatarSuccess"
"","16","Should successfully retrieve user profile by id","","Thu May 28 15:50:32 UTC 2026","passed","Thu May 28 15:50:32 UTC 2026","","Profile Controller Tests","com.luxus.tinterest.controller.ProfileControllerTests","testGetUserProfileSuccess"
"","2","createGroupChatRejectsSingleInvitedMember()","","Thu May 28 15:50:31 UTC 2026","passed","Thu May 28 15:50:31 UTC 2026","","ChatService Unit Tests","com.luxus.tinterest.service.ChatServiceTests","createGroupChatRejectsSingleInvitedMember"
"","2","Should delete interest by id","","Thu May 28 15:50:31 UTC 2026","passed","Thu May 28 15:50:31 UTC 2026","","InterestService Unit Tests","com.luxus.tinterest.service.InterestServiceTests","testDeleteInterest"
"","11","Should return 404 when user not found","","Thu May 28 15:50:33 UTC 2026","passed","Thu May 28 15:50:33 UTC 2026","","Chat Controller Tests","com.luxus.tinterest.controller.ChatControllerTests","testGetChatsUserNotFound"
"","9","Should return 401 when swiping without authentication","","Thu May 28 15:50:32 UTC 2026","passed","Thu May 28 15:50:32 UTC 2026","","Recommendation Controller Tests","com.luxus.tinterest.controller.RecommendationControllerTests","testSwipeWithoutAuthentication"
"","9","Should return 401 when retrieving chats without authentication","","Thu May 28 15:50:33 UTC 2026","passed","Thu May 28 15:50:33 UTC 2026","","Chat Controller Tests","com.luxus.tinterest.controller.ChatControllerTests","testGetChatsWithoutAuthentication"
"","4","Should generate and save verification code for new user","","Thu May 28 15:50:29 UTC 2026","passed","Thu May 28 15:50:29 UTC 2026","","EmailVerificationService Unit Tests","com.luxus.tinterest.service.EmailVerificationServiceTests","testGenerateAndSaveCreatesVerification"
"","1","Should handle gender distribution with null gender as UNKNOWN","","Thu May 28 15:50:31 UTC 2026","passed","Thu May 28 15:50:31 UTC 2026","","Positive Test Cases","com.luxus.tinterest.service.AdminStatisticsServiceTest$PositiveTests","shouldHandleNullGenderAsUnknown"
"","11","Should return 401 when refresh token is missing","","Thu May 28 15:50:32 UTC 2026","passed","Thu May 28 15:50:32 UTC 2026","","Login Controller Tests","com.luxus.tinterest.controller.LoginControllerTests","testRefreshWithoutToken"
"","15","Should return 401 when completing profile without authentication","","Thu May 28 15:50:31 UTC 2026","passed","Thu May 28 15:50:31 UTC 2026","","Profile Controller Tests","com.luxus.tinterest.controller.ProfileControllerTests","testCompleteProfileWithoutAuthentication"
"","16","Should return 400 when no file is provided","","Thu May 28 15:50:32 UTC 2026","failed","Thu May 28 15:50:32 UTC 2026","","Profile Controller Tests","com.luxus.tinterest.controller.ProfileControllerTests","testUploadAvatarNoFile"
"","4","Should return liked swipe result when no match is created","","Thu May 28 15:50:31 UTC 2026","passed","Thu May 28 15:50:31 UTC 2026","","RecommendationService Unit Tests","com.luxus.tinterest.service.RecommendationServiceTests","testSwipeReturnsLikedWhenNoMutualMatch"
"","254","Should throw when creating direct chat with yourself","","Thu May 28 15:50:31 UTC 2026","passed","Thu May 28 15:50:31 UTC 2026","","ChatService Unit Tests","com.luxus.tinterest.service.ChatServiceTests","testCreateOrGetDirectChatThrowsOnSelfChat"
"","1","Should throw when user is blocked","","Thu May 28 15:50:30 UTC 2026","passed","Thu May 28 15:50:30 UTC 2026","","UserService Unit Tests","com.luxus.tinterest.service.UserServiceTests","testLoginThrowsWhenUserBlocked"
