"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","Should return 400 for unsupported file format","","2026-06-01","passed","2026-06-01","","Profile Controller Tests","com.luxus.tinterest.controller.ProfileControllerTests","testUploadAvatarUnsupportedFormat"
"","47","Should perform basic CRUD operations on User repository","","2026-06-01","passed","2026-06-01","","com.luxus.tinterest.integration.UserRepositoryIntegrationTests","com.luxus.tinterest.integration.UserRepositoryIntegrationTests","shouldPerformCrudOperations"
"","9","Should successfully unblock user who is already blocked","","2026-06-01","passed","2026-06-01","","Admin Controller Tests","com.luxus.tinterest.controller.AdminControllerTests","testUnblockBlockedUser"
"","16","Should successfully retrieve chat by id","","2026-06-01","passed","2026-06-01","","Chat Controller Tests","com.luxus.tinterest.controller.ChatControllerTests","testGetChatSuccess"
"","71","Should return 401 when uploading avatar without authentication","","2026-06-01","passed","2026-06-01","","Profile Controller Tests","com.luxus.tinterest.controller.ProfileControllerTests","testUploadAvatarWithoutAuthentication"
"","3","Should not send email when mail delivery is disabled","","2026-06-01","passed","2026-06-01","","EmailService Unit Tests","com.luxus.tinterest.service.EmailServiceTests","testSendCodeDoesNotSendWhenDisabled"
"","108","Should verify code and delete verification record","","2026-06-01","passed","2026-06-01","","EmailVerificationService Unit Tests","com.luxus.tinterest.service.EmailVerificationServiceTests","testVerifyCodeSuccess"
"","14","Should retrieve users filtered by email","","2026-06-01","passed","2026-06-01","","Admin Controller Tests","com.luxus.tinterest.controller.AdminControllerTests","testGetUsersByEmail"
"","2","Should login authenticated user","","2026-06-01","passed","2026-06-01","","UserService Unit Tests","com.luxus.tinterest.service.UserServiceTests","testLoginReturnsUser"
"","14","Should verify interest response structure","","2026-06-01","passed","2026-06-01","","Interest Controller Tests","com.luxus.tinterest.controller.InterestControllerTests","testInterestResponseStructure"
"","12","Should return 403 when user does not have access to chat","","2026-06-01","passed","2026-06-01","","Chat Controller Tests","com.luxus.tinterest.controller.ChatControllerTests","testGetChatAccessDenied"
