"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Should successfully update work profile","","2026-06-03","passed","2026-06-03","","Profile Controller Tests","com.luxus.tinterest.controller.ProfileControllerTests","testUpdateWorkProfileSuccess"
"","15","Should successfully upload avatar with png format","","2026-06-03","passed","2026-06-03","","Profile Controller Tests","com.luxus.tinterest.controller.ProfileControllerTests","testUploadAvatarPngSuccess"
"","13","Should successfully mark chat as read","","2026-06-03","passed","2026-06-03","","Chat Controller Tests","com.luxus.tinterest.controller.ChatControllerTests","testMarkChatReadSuccess"
"","9","Should return 401 when creating group chat without authentication","","2026-06-03","passed","2026-06-03","","Chat Controller Tests","com.luxus.tinterest.controller.ChatControllerTests","testCreateGroupChatWithoutAuthentication"
"","3","Should throw when user is already registered","","2026-06-03","passed","2026-06-03","","AuthService Unit Tests","com.luxus.tinterest.service.AuthServiceTests","testRegisterThrowsWhenUserAlreadyRegistered"
"","2","Should throw ClassCastException when top interests contains wrong data type","","2026-06-03","passed","2026-06-03","","Negative Test Cases","com.luxus.tinterest.service.AdminStatisticsServiceTest$NegativeTests","shouldThrowExceptionWhenTopInterestsContainsWrongDataType"
"","16","Should return 400 when firstName is missing","","2026-06-03","passed","2026-06-03","","Registration Controller Tests","com.luxus.tinterest.controller.RegistrationControllerTests","testRegistrationWithoutFirstName"
"","3","Should throw exception when findTopInterests fails","","2026-06-03","passed","2026-06-03","","Negative Test Cases","com.luxus.tinterest.service.AdminStatisticsServiceTest$NegativeTests","shouldThrowExceptionWhenFindTopInterestsFails"
"","11","Should return 404 when chat not found","","2026-06-03","passed","2026-06-03","","Chat Controller Tests","com.luxus.tinterest.controller.ChatControllerTests","testGetChatNotFound"
"","16","Should return 403 when user does not have access to chat","","2026-06-03","passed","2026-06-03","","Chat Controller Tests","com.luxus.tinterest.controller.ChatControllerTests","testGetChatAccessDenied"
"","1","unsavedInterestsWithDifferentNamesStayDistinct()","","2026-06-03","passed","2026-06-03","","com.luxus.tinterest.entity.InterestTests","com.luxus.tinterest.entity.InterestTests","unsavedInterestsWithDifferentNamesStayDistinct"
"","19","Should successfully retrieve chat messages","","2026-06-03","passed","2026-06-03","","Chat Controller Tests","com.luxus.tinterest.controller.ChatControllerTests","testGetChatMessagesSuccess"
"","2","Should throw InterestAlreadyExistsException when interest name already exists","","2026-06-03","passed","2026-06-03","","InterestService Unit Tests","com.luxus.tinterest.service.InterestServiceTests","testAddInterestThrowsInterestAlreadyExistsException"
"","2","Should handle gender distribution with null gender as UNKNOWN","","2026-06-03","passed","2026-06-03","","Positive Test Cases","com.luxus.tinterest.service.AdminStatisticsServiceTest$PositiveTests","shouldHandleNullGenderAsUnknown"
"","15","Should successfully retrieve recommendation for user","","2026-06-03","passed","2026-06-03","","Recommendation Controller Tests","com.luxus.tinterest.controller.RecommendationControllerTests","testGetRecommendation"
"","4","Should return liked swipe result when no match is created","","2026-06-03","passed","2026-06-03","","RecommendationService Unit Tests","com.luxus.tinterest.service.RecommendationServiceTests","testSwipeReturnsLikedWhenNoMutualMatch"
"","2","Should throw invalid refresh token when revoke fails","","2026-06-03","passed","2026-06-03","","RefreshTokenService Unit Tests","com.luxus.tinterest.service.RefreshTokenServiceTests","testRevokeThrowsWhenTokenMissing"
"","9","Should successfully logout and clear refresh token","","2026-06-03","passed","2026-06-03","","Login Controller Tests","com.luxus.tinterest.controller.LoginControllerTests","testSuccessfulLogout"
"","3","Should throw when verification code expired","","2026-06-03","passed","2026-06-03","","EmailVerificationService Unit Tests","com.luxus.tinterest.service.EmailVerificationServiceTests","testVerifyCodeThrowsWhenExpired"
"","11","Should return 400 when attempting invalid admin operation","","2026-06-03","passed","2026-06-03","","Admin Controller Tests","com.luxus.tinterest.controller.AdminControllerTests","testBlockUserForbidden"
"","14","Should build recommendations and return ordered user cards","","2026-06-03","passed","2026-06-03","","RecommendationService Unit Tests","com.luxus.tinterest.service.RecommendationServiceTests","testGetRecommendationsBuildsCache"
"","2","Should throw InterestNotFoundException when deleting non-existent interest","","2026-06-03","passed","2026-06-03","","InterestService Unit Tests","com.luxus.tinterest.service.InterestServiceTests","testDeleteInterestThrowsInterestNotFoundException"
"","2","Should throw when resend code for already verified user","","2026-06-03","passed","2026-06-03","","EmailVerificationService Unit Tests","com.luxus.tinterest.service.EmailVerificationServiceTests","testResendCodeThrowsWhenAlreadyVerified"
"","2","Should handle empty strings in city and interest names","","2026-06-03","passed","2026-06-03","","Edge Cases and Boundary Tests","com.luxus.tinterest.service.AdminStatisticsServiceTest$EdgeCaseTests","shouldHandleEmptyStrings"
"","1","Sanity check - service should be injectable","","2026-06-03","passed","2026-06-03","","AdminStatisticsService Tests","com.luxus.tinterest.service.AdminStatisticsServiceTest","sanityCheck"
"","2","Should handle very large numbers","","2026-06-03","passed","2026-06-03","","Edge Cases and Boundary Tests","com.luxus.tinterest.service.AdminStatisticsServiceTest$EdgeCaseTests","shouldHandleVeryLargeNumbers"
"","28","Should wrap Minio exceptions into StorageOperationException","","2026-06-03","passed","2026-06-03","","MinioStorageService Unit Tests","com.luxus.tinterest.service.MinioStorageServiceTests","testUploadAvatarThrowsStorageOperationException"
"","1","unsavedInterestsCompareByNameIgnoringCase()","","2026-06-03","passed","2026-06-03","","com.luxus.tinterest.entity.InterestTests","com.luxus.tinterest.entity.InterestTests","unsavedInterestsCompareByNameIgnoringCase"
"","108","Should verify code and delete verification record","","2026-06-03","passed","2026-06-03","","EmailVerificationService Unit Tests","com.luxus.tinterest.service.EmailVerificationServiceTests","testVerifyCodeSuccess"
"","24","Should return 400 when profession is missing","","2026-06-03","passed","2026-06-03","","Profile Controller Tests","com.luxus.tinterest.controller.ProfileControllerTests","testUpdateWorkProfileWithoutProfession"
"","2","Should throw invalid credentials when email is missing","","2026-06-03","passed","2026-06-03","","UserService Unit Tests","com.luxus.tinterest.service.UserServiceTests","testLoginThrowsWhenUserMissing"
"","10","Should return 404 when user not found on resend","","2026-06-03","passed","2026-06-03","","Email Verification Controller Tests","com.luxus.tinterest.controller.EmailVerificationControllerTests","testEmailResendUserNotFound"
"","74","Should not register a user with invalid input","","2026-06-03","passed","2026-06-03","","com.luxus.tinterest.integration.AuthSecurityIntegrationTests","com.luxus.tinterest.integration.AuthSecurityIntegrationTests","shouldReturnBadRequestForInvalidRegistration"
"","13","Should return 400 for invalid chat operation","","2026-06-03","passed","2026-06-03","","Chat Controller Tests","com.luxus.tinterest.controller.ChatControllerTests","testCreateDirectChatInvalidOperation"
"","3","Should propagate invalid verification code exception","","2026-06-03","passed","2026-06-03","","AuthService Unit Tests","com.luxus.tinterest.service.AuthServiceTests","testVerifyEmailCodeThrowsWhenInvalid"
"","18","Should successfully upload avatar","","2026-06-03","passed","2026-06-03","","Profile Controller Tests","com.luxus.tinterest.controller.ProfileControllerTests","testUploadAvatarSuccess"
"","17","Should return 409 when user with email already exists","","2026-06-03","passed","2026-06-03","","Registration Controller Tests","com.luxus.tinterest.controller.RegistrationControllerTests","testRegistrationWithExistingEmail"
"","2","Should throw when resend code for missing user","","2026-06-03","passed","2026-06-03","","EmailVerificationService Unit Tests","com.luxus.tinterest.service.EmailVerificationServiceTests","testResendCodeThrowsWhenUserMissing"
"","5","Should be read-only transaction","","2026-06-03","passed","2026-06-03","","Transaction and Concurrency Tests","com.luxus.tinterest.service.AdminStatisticsServiceTest$TransactionTests","shouldBeReadOnlyTransaction"
"","7","Should return 401 when blocking user without authorization","","2026-06-03","passed","2026-06-03","","Admin Controller Tests","com.luxus.tinterest.controller.AdminControllerTests","testBlockUserWithoutAuthorization"
"","1","Should return interest responses ordered by name","","2026-06-03","passed","2026-06-03","","InterestService Unit Tests","com.luxus.tinterest.service.InterestServiceTests","testGetInterestsReturnsResponses"
"","647","Should execute custom query methods for User repository","","2026-06-03","passed","2026-06-03","","com.luxus.tinterest.integration.UserRepositoryIntegrationTests","com.luxus.tinterest.integration.UserRepositoryIntegrationTests","shouldExecuteCustomQueryMethods"
"","8","Should return 401 when accessing admin statistics without authorization","","2026-06-03","passed","2026-06-03","","Admin Controller Tests","com.luxus.tinterest.controller.AdminControllerTests","testGetStatisticsWithoutAuthorization"
"","20","Should return unauthorized for protected endpoint without JWT","","2026-06-03","passed","2026-06-03","","com.luxus.tinterest.integration.AuthSecurityIntegrationTests","com.luxus.tinterest.integration.AuthSecurityIntegrationTests","shouldReturnUnauthorizedWithoutToken"
"","2","Should handle empty statistics gracefully","","2026-06-03","passed","2026-06-03","","Positive Test Cases","com.luxus.tinterest.service.AdminStatisticsServiceTest$PositiveTests","shouldHandleEmptyStatistics"
"","2","Should throw when token is invalid","","2026-06-03","passed","2026-06-03","","JwtService Unit Tests","com.luxus.tinterest.service.JwtServiceTests","testValidateThrowsForInvalidToken"
"","2","Should throw exception when userRepository.count() fails","","2026-06-03","passed","2026-06-03","","Negative Test Cases","com.luxus.tinterest.service.AdminStatisticsServiceTest$NegativeTests","shouldThrowExceptionWhenUserCountFails"
"","1","Should throw when user id is missing","","2026-06-03","passed","2026-06-03","","UserService Unit Tests","com.luxus.tinterest.service.UserServiceTests","testFindByIdThrowsWhenMissing"
"","13","Should return 401 when completing profile without authentication","","2026-06-03","passed","2026-06-03","","Profile Controller Tests","com.luxus.tinterest.controller.ProfileControllerTests","testCompleteProfileWithoutAuthentication"
"","3","Should handle all registration dynamics being zero","","2026-06-03","passed","2026-06-03","","Edge Cases and Boundary Tests","com.luxus.tinterest.service.AdminStatisticsServiceTest$EdgeCaseTests","shouldHandleZeroRegistrationDynamics"
"","23","Should return 429 when too many verification attempts","","2026-06-03","passed","2026-06-03","","Email Verification Controller Tests","com.luxus.tinterest.controller.EmailVerificationControllerTests","testEmailVerifyTooManyAttempts"
"","244","Should throw when creating direct chat with yourself","","2026-06-03","passed","2026-06-03","","ChatService Unit Tests","com.luxus.tinterest.service.ChatServiceTests","testCreateOrGetDirectChatThrowsOnSelfChat"
"","12","Should return 404 when chat not found for messages","","2026-06-03","passed","2026-06-03","","Chat Controller Tests","com.luxus.tinterest.controller.ChatControllerTests","testGetChatMessagesNotFound"
"","15","Should return 404 when target user not found","","2026-06-03","passed","2026-06-03","","Recommendation Controller Tests","com.luxus.tinterest.controller.RecommendationControllerTests","testSwipeTargetUserNotFound"
"","12","Should return 404 when user profile not found","","2026-06-03","passed","2026-06-03","","Profile Controller Tests","com.luxus.tinterest.controller.ProfileControllerTests","testGetMyProfileNotFound"
